,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aggregate,,,,,,,,,,,,,Auto,,,,,,,,,Switch/Scale,,,,,,,,Vault,,,,,,,,,,Endgame,,,,,,,,Miscellaneous,,,,,,,Awards,,,,,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,winning Margin Elo,total Points,winning Margin,ranking Points,auto Points,teleop Excluding Endgame Points,endgame Points,auto Elo Points,scale Elo Points,switch and Scale Elo Points,win,opponent Switch Deactivated Seconds,placeholder,auto Run Points,auto Run Rate,auto Switch Ownership Seconds,auto Switch At Zero,auto Scale Ownership Seconds,auto Scale Ownership Margin,auto Ownership Points,auto Ownership Points Margin,auto Quest Ranking Point,teleop Switch Ownership Seconds,teleop Switch Force Seconds,teleop Switch Boost Seconds,teleop Scale Ownership Seconds,teleop Scale Force Seconds,teleop Scale Boost Seconds,teleop Ownership Points,teleop Ownership Points Margin,vault Force Played,vault Force Total,average Force Efficiency,vault Levitate Played,vault Levitate Total,average Levitate Efficiency,vault Boost Played,vault Boost Total,average Boost Efficiency,vault Points,parking Points,climbing Points,levitate Points,climb Rate,adjusted Levitate Rate,adjusted Climb Or Levitate Rate,adjusted Individual Endgame Points,face The Boss Ranking Point,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,tba Ranking Points Earned,Chairman's Strength (mCA),,,,,,,,,,,,,,,,,,,
11,MORT,Detroit,Festival de Robotique - Montreal Regional,1,1533,67.58,-22.09,0.05,-0.28,49.40,12.69,-1.00,-1.00,-1.00,0.24,26.47,-1.00,2.44,1.00,-1.41,-0.18,0.05,0.48,-2.72,-7.49,-0.07,31.10,-0.68,2.61,7.10,0.46,0.87,41.68,-13.86,0.02,0.12,0.37,1.11,1.08,0.31,0.40,0.34,0.38,7.72,4.89,-3.58,11.39,0.00,0.35,0.35,14.44,-0.09,1.39,1.38,0.06,-0.04,8.43,5.76,-1.00,4047,,,,,,,,,,,,,,,,,,,
16,Bomb Squad,Houston,Midwest Regional,6,1814,194.57,176.99,1.85,18.19,133.61,35.29,-1.00,-1.00,-1.00,0.43,43.34,-1.00,6.47,1.00,5.49,0.50,0.37,-0.22,11.72,10.24,0.64,57.24,0.05,3.16,59.41,1.29,3.32,123.12,133.80,0.34,0.25,0.31,1.29,1.21,0.39,0.67,0.64,0.37,10.49,-1.40,23.80,12.89,0.67,0.12,0.79,25.00,0.38,0.24,0.52,0.25,0.20,7.53,7.48,-1.00,-99782,,,,,,,,,,,,,,,,,,,
16,Bomb Squad,Houston,Arkansas Rock City Regional,2,1752,196.54,131.84,1.52,18.42,128.63,37.15,-1.00,-1.00,-1.00,0.44,6.48,-1.00,6.02,0.82,6.56,0.65,-0.36,-0.42,12.40,8.79,0.58,62.46,0.00,2.67,46.24,0.25,3.49,114.86,74.04,0.04,0.02,0.32,1.58,1.34,0.50,1.00,1.40,0.08,13.77,-1.59,22.96,15.78,0.59,0.15,0.74,23.82,0.28,-0.10,0.37,-0.01,0.42,-0.84,12.32,-1.00,-99890,,,,,,,,,,,,,,,,,,,
20,The Rocketeers,Detroit,New York Tech Valley Regional,3,1693,173.66,116.48,0.92,16.36,117.53,13.94,-1.00,-1.00,-1.00,0.16,17.75,-1.00,3.85,0.84,5.02,0.50,1.24,1.67,12.51,8.00,0.19,56.20,1.32,2.13,48.45,-0.70,1.83,108.61,89.04,0.16,0.36,0.10,0.81,1.01,0.29,0.41,0.41,0.33,8.92,3.16,2.70,8.08,0.26,0.27,0.54,17.89,-0.02,0.58,1.06,-0.13,0.82,-0.35,25.83,-1.00,3011,,,,,,,,,,,,,,,,,,,
20,The Rocketeers,Detroit,Central New York Regional,1,1608,107.79,25.55,0.83,12.17,67.57,18.48,-1.00,-1.00,-1.00,0.23,5.93,-1.00,4.61,0.93,2.71,0.29,1.06,1.55,7.56,6.16,0.25,17.93,-1.59,-2.89,43.04,-1.81,2.32,60.40,19.73,-0.52,-0.21,0.22,1.35,1.30,0.36,-0.01,0.34,0.13,7.17,0.77,4.21,13.50,0.07,0.39,0.46,16.43,-0.01,0.05,0.48,0.19,0.29,4.88,9.57,-1.00,2591,,,,,,,,,,,,,,,,,,,
21,ComBBAT,Houston,South Florida Regional ,5,1613,94.40,-51.60,0.04,7.52,58.70,24.48,-1.00,-1.00,-1.00,0.34,-11.22,-1.00,4.93,1.00,0.75,0.13,0.55,-1.26,2.60,-1.07,-0.02,30.94,-0.21,0.85,25.02,1.40,-0.48,56.34,-30.00,0.22,0.32,0.32,0.37,0.43,0.20,-0.17,-0.27,0.40,2.36,1.37,19.73,3.38,0.50,0.13,0.63,21.00,0.03,0.90,-0.04,-0.28,0.16,-2.60,3.69,-1.00,512,,,,,,,,,,,,,,,,,,,
21,ComBBAT,Houston,Orlando Regional,2,1630,112.13,80.46,0.87,9.18,69.64,32.19,-1.00,-1.00,-1.00,0.38,23.31,-1.00,5.09,1.00,1.59,0.34,0.45,0.90,4.09,0.34,0.27,30.98,0.87,0.11,29.82,0.30,1.49,62.41,36.01,0.12,-0.01,0.36,0.86,1.16,0.28,0.09,0.29,0.29,7.23,0.19,22.70,9.30,1.00,0.00,1.00,30.00,-0.03,0.24,-0.41,-0.16,0.13,-2.89,1.14,-1.00,512,,,,,,,,,,,,,,,,,,,
23,PNTA Pilgrim Nuclear Technology Alliance,Detroit,NE District SE Mass Event,2,1600,112.49,70.57,0.87,10.50,68.30,18.86,-1.00,-1.00,-1.00,0.42,22.65,-1.00,5.29,1.00,2.35,0.27,0.26,0.34,5.22,7.54,0.21,36.87,-0.71,1.45,25.00,0.47,0.66,63.97,28.20,-0.01,0.07,0.28,0.59,0.46,0.42,0.26,0.33,0.27,4.33,2.33,10.60,5.94,0.44,0.20,0.64,20.94,0.00,0.01,0.74,-0.18,0.44,-4.32,14.82,-1.00,-100000,,,,,,,,,,,,,,,,,,,
23,PNTA Pilgrim Nuclear Technology Alliance,Detroit,NE District Worcester Polytechnic Institute Event,1,1518,127.45,40.08,0.74,7.90,96.23,21.86,-1.00,-1.00,-1.00,0.10,-8.21,-1.00,5.44,0.93,0.46,0.24,0.76,0.84,2.46,-2.12,0.20,45.40,-0.83,1.24,39.93,1.21,1.77,88.35,35.40,0.09,0.22,0.27,0.78,0.90,0.30,0.64,0.46,0.22,7.88,2.24,11.79,7.83,0.36,0.21,0.57,18.21,0.01,0.15,0.11,0.35,0.04,9.61,1.45,-1.00,-100000,,,,,,,,,,,,,,,,,,,
25,Raider Robotix,Detroit,FIRST Mid-Atlantic District Championship,6,1870,201.19,129.26,1.70,16.04,141.85,20.90,-1.00,-1.00,-1.00,0.39,17.05,-1.00,5.94,1.00,4.04,0.44,1.01,1.27,10.10,10.20,0.53,52.88,3.30,5.68,58.24,4.40,4.80,121.60,104.79,1.32,1.36,0.30,1.24,1.18,0.29,1.36,1.51,0.23,20.24,2.09,8.54,10.27,0.11,0.44,0.54,17.63,-0.04,0.32,0.48,0.25,0.80,7.81,22.40,-1.00,,,,,,,,,,,,,,,,,,,,
