,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aggregate,,,,,,,,,,,,,Auto,,,,,,,,,Switch/Scale,,,,,,,,Vault,,,,,,,,,,Endgame,,,,,,,,Miscellaneous,,,,,,,Awards,,,,,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,winning Margin Elo,total Points,winning Margin,ranking Points,auto Points,teleop Excluding Endgame Points,endgame Points,auto Elo Points,scale Elo Points,switch and Scale Elo Points,win,opponent Switch Deactivated Seconds,placeholder,auto Run Points,auto Run Rate,auto Switch Ownership Seconds,auto Switch At Zero,auto Scale Ownership Seconds,auto Scale Ownership Margin,auto Ownership Points,auto Ownership Points Margin,auto Quest Ranking Point,teleop Switch Ownership Seconds,teleop Switch Force Seconds,teleop Switch Boost Seconds,teleop Scale Ownership Seconds,teleop Scale Force Seconds,teleop Scale Boost Seconds,teleop Ownership Points,teleop Ownership Points Margin,vault Force Played,vault Force Total,average Force Efficiency,vault Levitate Played,vault Levitate Total,average Levitate Efficiency,vault Boost Played,vault Boost Total,average Boost Efficiency,vault Points,parking Points,climbing Points,levitate Points,climb Rate,adjusted Levitate Rate,adjusted Climb Or Levitate Rate,adjusted Individual Endgame Points,face The Boss Ranking Point,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,tba Ranking Points Earned,Chairman's Strength (mCA),,,,,,,,,,,,,,,,,,,
2944,Titanium Tigers,Houston,PNW District SunDome Event,3,1453,51.99,-16.27,0.26,6.29,42.40,0.16,-1.00,-1.00,-1.00,0.48,5.95,-1.00,4.59,0.86,0.69,0.09,0.16,0.36,1.70,2.10,0.16,19.95,0.16,-0.67,21.17,-1.31,0.87,41.32,-7.43,-0.22,0.10,0.16,0.09,0.10,0.38,0.04,0.02,0.33,1.09,2.12,-2.91,0.94,0.14,0.17,0.31,11.07,0.00,0.07,0.00,-0.12,0.12,-2.68,3.14,-1.00,2213,,,,,,,,,,,,,,,,,,,
2945,Steel Mustangs,Houston,Colorado Regional,4,1397,42.38,-76.96,0.45,6.64,27.94,3.30,-1.00,-1.00,-1.00,0.24,5.38,-1.00,4.32,0.91,1.50,0.27,-0.34,-0.70,2.33,-0.43,0.24,30.17,0.65,0.79,-3.37,1.03,-2.11,25.48,-59.50,0.28,0.24,0.39,0.37,0.28,0.38,-0.13,-0.03,0.36,2.46,3.21,-3.63,3.72,0.09,0.21,0.30,12.73,-0.01,0.24,0.15,0.03,0.15,1.87,4.49,-1.00,52,,,,,,,,,,,,,,,,,,,
2950,Devastators,Houston,Lone Star Central Regional,3,1387,2.90,-122.16,-0.41,3.58,-5.55,7.08,-1.00,-1.00,-1.00,0.28,2.53,-1.00,2.78,0.83,0.41,0.08,-0.01,-0.01,0.80,-1.22,0.02,2.83,1.59,-1.21,-9.44,1.10,-0.80,-8.63,-91.69,0.34,0.23,0.41,0.62,0.62,0.31,-0.33,-0.24,0.37,3.07,3.58,-2.66,6.16,0.00,0.26,0.26,11.25,0.00,0.46,0.48,0.35,-0.18,11.05,-2.22,-1.00,646,,,,,,,,,,,,,,,,,,,
2957,Knights,Detroit,Iowa Regional,4,1464,72.95,-42.82,0.15,1.17,38.26,13.15,-1.00,-1.00,-1.00,0.20,29.81,-1.00,1.47,0.44,0.60,0.13,-0.75,-1.58,-0.30,2.10,-0.01,31.36,1.89,-0.24,-4.36,-0.40,1.31,28.07,-32.96,0.09,0.30,0.21,1.21,1.08,0.40,0.41,0.66,0.11,10.19,3.77,-2.73,12.12,0.00,0.33,0.33,13.33,-0.04,0.44,-0.42,0.85,0.90,23.39,20.36,-1.00,230,,,,,,,,,,,,,,,,,,,
2959,Robotarians,Detroit,FIM District Lakeview Event,6,1650,180.38,120.44,1.44,15.73,121.46,27.77,-1.00,-1.00,-1.00,0.41,10.38,-1.00,5.33,1.00,4.21,0.52,0.99,1.17,10.40,5.98,0.47,47.79,3.96,4.65,45.10,5.28,4.38,101.92,75.97,1.52,1.52,0.37,1.24,1.12,0.41,1.19,1.27,0.22,19.54,0.63,14.74,12.39,0.67,0.11,0.78,23.89,0.12,0.21,0.89,-0.08,0.44,-0.88,15.42,-1.00,3189,,,,,,,,,,,,,,,,,,,
2959,Robotarians,Detroit,FIM District Shepherd Event,5,1629,162.05,91.50,1.17,9.95,119.67,29.56,-1.00,-1.00,-1.00,0.37,13.63,-1.00,4.98,0.94,2.92,0.41,-0.44,-1.24,4.97,3.95,0.38,38.86,5.87,5.44,47.70,5.46,4.83,96.83,70.86,1.74,1.78,0.27,1.22,0.89,0.30,1.72,1.90,0.07,22.84,-0.11,19.87,9.79,0.82,0.08,0.90,27.65,0.01,0.46,1.33,0.34,-0.15,10.81,2.86,-1.00,3189,,,,,,,,,,,,,,,,,,,
2959,Robotarians,Detroit,FIM District St. Joseph Event,2,1548,138.52,41.93,0.28,8.85,85.39,37.07,-1.00,-1.00,-1.00,0.35,11.17,-1.00,3.76,0.93,2.61,0.28,-0.06,-1.23,5.09,3.57,-0.03,49.22,2.23,4.82,9.83,3.59,1.57,65.43,-8.57,0.99,1.10,0.19,1.54,1.40,0.46,1.47,1.49,0.12,19.96,0.78,20.53,15.75,0.36,0.32,0.68,21.79,0.09,0.05,0.34,-0.09,0.22,-1.94,7.20,-1.00,2861,,,,,,,,,,,,,,,,,,,
2960,Automation Nation,Detroit,FIM District Troy Event,5,1657,147.35,83.40,1.03,15.75,116.87,12.33,-1.00,-1.00,-1.00,0.33,15.49,-1.00,5.10,0.93,4.19,0.39,1.14,0.89,10.66,7.51,0.39,53.98,2.26,3.85,39.99,3.28,2.43,100.24,69.96,0.88,1.22,0.15,1.20,1.18,0.35,1.02,0.93,0.23,16.63,1.44,-1.15,12.05,0.07,0.35,0.42,14.29,-0.06,0.04,0.38,0.29,0.02,7.43,2.39,-1.00,1559,,,,,,,,,,,,,,,,,,,
2960,Automation Nation,Detroit,IN District Plainfield Event sponsored by Toyota,4,1588,126.72,14.15,0.85,16.51,86.62,15.78,-1.00,-1.00,-1.00,0.40,7.63,-1.00,5.15,1.00,5.62,0.44,0.06,0.15,11.36,5.87,0.45,45.65,1.23,1.97,22.46,1.93,1.52,71.60,14.95,0.47,0.76,0.25,1.51,1.35,0.43,0.98,0.89,0.08,15.02,1.61,-0.89,15.06,0.00,0.39,0.39,12.86,0.02,-0.12,0.60,0.24,0.19,5.29,7.82,-1.00,1559,,,,,,,,,,,,,,,,,,,
2960,Automation Nation,Detroit,FIM District Milford Event,3,1590,120.50,6.88,0.77,12.33,86.02,21.38,-1.00,-1.00,-1.00,0.27,-6.36,-1.00,5.02,1.00,3.93,0.33,-0.27,-0.31,7.31,-0.58,0.33,41.75,2.19,0.25,34.34,1.67,0.68,77.02,12.50,0.59,0.56,0.25,0.67,0.83,0.22,0.52,0.41,0.16,9.00,1.33,13.34,6.72,0.43,0.14,0.57,18.93,0.05,-0.10,0.79,0.22,-0.13,5.08,0.75,-1.00,1559,,,,,,,,,,,,,,,,,,,
2961,Crimson Tide Engineers/ Coolidge Colts,Detroit,CHS District Central Maryland Event sponsored by Leidos,4,1444,67.82,-24.88,0.33,3.69,50.95,10.64,-1.00,-1.00,-1.00,0.23,1.16,-1.00,3.55,0.83,0.05,-0.03,0.02,-0.64,0.14,-2.20,-0.06,23.80,-0.84,-0.09,24.48,-0.19,0.39,48.59,-9.40,-0.15,-0.23,0.39,0.50,0.72,0.19,-0.12,-0.02,0.37,2.37,1.99,3.64,5.01,0.00,0.29,0.29,10.42,-0.01,0.55,-0.48,0.36,0.20,11.70,2.53,-1.00,2,,,,,,,,,,,,,,,,,,,
2961,Crimson Tide Engineers/ Coolidge Colts,Detroit,CHS District Greater DC Event co-sponsored by Micron,2,1437,68.77,-59.85,0.17,2.32,59.78,5.36,-1.00,-1.00,-1.00,-0.11,1.49,-1.00,1.45,0.08,0.89,0.08,-0.45,-3.30,0.88,8.36,-0.21,31.23,0.12,-0.31,24.09,0.53,0.55,55.56,-12.85,0.39,0.28,0.24,0.63,0.53,0.36,0.04,0.04,0.34,4.22,0.85,-1.78,6.29,0.00,0.25,0.25,9.17,-0.01,0.31,0.84,0.86,-0.12,23.20,1.31,-1.00,2,,,,,,,,,,,,,,,,,,,
2964,Robopanthers,Detroit,CHS District Central Maryland Event sponsored by Leidos,4,1434,83.92,9.85,0.44,9.30,56.38,12.84,-1.00,-1.00,-1.00,0.24,17.85,-1.00,4.22,0.83,2.91,0.36,-0.37,-0.61,5.08,1.04,0.21,24.85,1.60,0.96,21.92,2.54,0.51,48.24,7.81,0.69,0.61,0.35,0.68,0.75,0.31,0.36,0.27,0.27,8.14,2.33,3.73,6.78,0.08,0.28,0.36,13.33,-0.01,0.64,-0.32,-0.16,0.28,-0.92,5.39,-1.00,136,,,,,,,,,,,,,,,,,,,
2964,Robopanthers,Detroit,CHS District Southern Maryland Event,3,1413,21.63,-93.15,0.01,4.55,20.13,6.69,-1.00,-1.00,-1.00,0.17,-12.06,-1.00,3.85,0.75,0.50,0.04,-0.15,-0.06,0.70,-3.16,0.18,10.77,-0.68,-0.50,7.65,1.64,-1.44,16.48,-75.03,0.15,0.07,0.47,-0.02,0.90,-0.07,-0.21,-0.24,0.23,3.65,1.63,5.21,-0.15,0.08,0.17,0.25,10.42,-0.04,0.35,-0.28,-0.34,-0.33,-6.60,-9.76,-1.00,136,,,,,,,,,,,,,,,,,,,
2966,Tiger Tech,Houston,Lone Star Central Regional,3,1426,74.90,-42.81,0.25,4.64,56.77,3.91,-1.00,-1.00,-1.00,0.28,6.12,-1.00,3.54,0.92,0.55,0.04,0.00,0.00,1.10,-3.69,0.07,39.03,-1.80,2.76,10.21,1.75,-1.54,50.46,-21.30,0.10,0.16,0.36,0.50,0.82,0.21,0.27,0.28,0.18,6.31,2.09,-3.14,4.96,0.00,0.24,0.24,9.17,-0.01,-0.69,-0.24,0.68,0.43,13.60,9.58,-1.00,159,,,,,,,,,,,,,,,,,,,
2969,Aftermath,Houston,Alamo Regional,6,1366,5.29,-146.50,-0.49,0.23,-14.74,1.58,-1.00,-1.00,-1.00,0.14,0.04,-1.00,0.30,0.10,0.18,0.04,-0.22,-0.09,-0.07,-2.32,-0.13,-2.59,1.84,-1.96,-9.64,0.56,-1.36,-15.56,-115.32,0.23,0.16,0.42,0.13,0.03,0.37,-0.01,-0.03,0.19,0.82,1.68,-1.39,1.29,0.00,0.22,0.22,8.50,-0.02,-0.20,0.23,0.25,0.68,5.17,18.21,-1.00,174,,,,,,,,,,,,,,,,,,,
2972,RC Dawson,Houston,Utah Regional,1,1535,65.30,-21.97,0.73,8.28,56.58,-5.00,-1.00,-1.00,-1.00,0.53,-0.41,-1.00,5.73,0.69,0.56,0.21,0.72,1.01,2.55,-3.24,0.39,28.12,-2.14,-2.72,37.16,-3.07,0.96,63.51,14.40,-1.01,-0.63,0.22,-0.44,-0.16,0.16,-0.41,-0.59,0.40,-6.93,-1.21,0.64,-4.44,0.15,0.19,0.35,11.54,-0.01,1.04,1.41,0.10,-0.06,7.68,5.43,-1.00,100,,,,,,,,,,,,,,,,,,,
2973,Mad Rockers,Houston,Smoky Mountains Regional,4,1520,84.16,14.64,0.59,10.09,60.76,16.49,-1.00,-1.00,-1.00,0.32,2.87,-1.00,5.39,1.00,1.92,0.17,0.43,0.87,4.70,-1.31,0.22,30.54,0.81,0.86,19.94,0.13,0.74,52.09,-0.39,0.09,0.16,0.29,1.26,1.14,0.41,0.29,0.43,0.20,8.67,3.75,-0.24,12.98,0.10,0.30,0.40,14.50,-0.03,0.51,0.69,0.28,-0.27,9.46,-3.18,-1.00,653,,,,,,,,,,,,,,,,,,,
2973,Mad Rockers,Houston,Rocket City Regional,3,1521,80.03,44.83,0.40,8.51,59.02,14.39,-1.00,-1.00,-1.00,0.14,26.56,-1.00,2.05,0.64,2.49,0.26,0.74,0.81,6.46,9.04,0.00,27.30,0.44,0.67,28.48,-0.99,0.02,56.47,28.00,-0.26,-0.25,0.35,0.55,0.41,0.41,0.12,0.35,0.11,2.55,2.55,6.37,5.48,0.09,0.24,0.33,12.73,-0.01,1.82,0.17,-0.04,-0.11,8.18,-1.89,-1.00,653,,,,,,,,,,,,,,,,,,,
2974,Walton Robotics,Houston,Peachtree District State Championship,6,1702,128.96,41.97,0.71,17.37,89.32,11.52,-1.00,-1.00,-1.00,0.26,13.70,-1.00,5.00,1.00,5.58,0.39,0.60,0.43,12.36,14.30,0.35,51.24,2.62,0.57,25.16,2.38,2.14,79.11,23.86,0.86,0.78,0.38,0.74,0.78,0.28,0.42,0.48,0.26,10.21,2.29,1.83,7.40,0.29,0.25,0.54,17.50,-0.02,-0.07,-0.06,0.11,0.44,2.46,10.75,-1.00,,,,,,,,,,,,,,,,,,,,
2974,Walton Robotics,Houston,PCH District Columbus Event,4,1670,134.73,51.62,1.35,20.87,105.65,6.71,-1.00,-1.00,-1.00,0.34,32.32,-1.00,5.63,1.00,7.66,0.71,-0.04,0.06,15.24,9.31,0.55,74.41,1.44,-1.10,22.84,4.00,0.92,97.07,51.01,0.93,0.83,0.41,0.70,0.92,0.15,-0.20,-0.04,0.30,8.57,1.75,-2.04,7.00,0.00,0.31,0.31,11.67,0.00,1.38,-0.05,0.12,0.07,9.88,1.48,-1.00,-65578,,,,,,,,,,,,,,,,,,,
2974,Walton Robotics,Houston,PCH District Dalton Event,2,1644,164.17,116.78,1.16,19.22,106.41,19.85,-1.00,-1.00,-1.00,0.35,37.49,-1.00,3.63,1.00,7.83,0.82,-0.03,0.10,15.59,14.77,0.24,75.75,4.36,5.11,3.49,4.72,-0.41,83.94,55.43,1.44,1.79,0.14,1.77,1.70,0.42,0.83,1.01,0.18,22.47,1.55,0.67,17.64,0.06,0.29,0.35,12.35,0.00,0.13,0.19,-0.10,0.71,-1.86,18.68,-1.00,-65908,,,,,,,,,,,,,,,,,,,
2976,Spartabots,Houston,Pacific Northwest District Championship,6,1684,135.82,57.03,0.60,8.48,100.83,7.27,-1.00,-1.00,-1.00,0.24,27.60,-1.00,4.72,1.00,2.01,0.32,-0.14,0.21,3.76,2.76,0.34,52.65,0.58,4.44,28.79,3.64,2.34,88.22,59.69,0.69,0.59,0.47,0.46,0.95,0.09,0.86,0.98,0.24,12.61,1.46,1.30,4.52,0.00,0.40,0.40,13.75,-0.05,0.41,0.23,0.74,0.73,20.68,19.39,-1.00,,,,,,,,,,,,,,,,,,,,
2976,Spartabots,Houston,PNW District Auburn Mountainview Event,5,1639,148.62,104.64,0.57,8.68,93.71,13.49,-1.00,-1.00,-1.00,0.40,54.57,-1.00,4.96,0.94,1.39,0.19,0.47,0.72,3.72,3.19,0.23,67.27,0.08,3.96,7.32,2.08,0.37,78.92,57.01,0.47,0.83,0.03,1.16,1.20,0.24,0.50,0.93,0.12,14.79,2.77,-0.89,11.62,0.06,0.31,0.37,12.35,0.05,-0.38,0.57,0.29,1.20,5.44,32.82,-1.00,677,,,,,,,,,,,,,,,,,,,
2976,Spartabots,Houston,PNW District Mount Vernon Event,1,1549,91.05,17.13,0.46,6.09,69.77,14.66,-1.00,-1.00,-1.00,0.13,24.31,-1.00,2.85,0.65,1.89,0.22,-0.27,-0.12,3.24,4.33,0.01,43.80,2.48,1.39,9.32,3.61,-0.25,54.26,12.89,1.01,1.17,0.26,0.93,1.12,0.25,0.74,0.81,0.07,15.51,-0.27,5.42,9.51,0.06,0.35,0.41,13.82,0.14,0.14,0.30,0.32,-0.04,8.82,0.53,-1.00,677,,,,,,,,,,,,,,,,,,,
2977,Sir Lancer Bots,Detroit,Seven Rivers Regional,6,1622,109.48,33.82,0.55,10.19,79.83,15.48,-1.00,-1.00,-1.00,0.36,21.87,-1.00,5.61,0.90,2.38,0.25,-0.09,0.85,4.58,0.47,0.20,39.09,0.19,3.21,34.71,-1.52,0.75,77.77,51.26,-0.38,-0.46,0.36,0.68,0.63,0.34,0.33,0.25,0.33,2.07,4.28,4.35,6.84,0.20,0.35,0.55,19.00,-0.04,0.97,0.68,0.87,0.02,26.55,3.98,-1.00,1329,,,,,,,,,,,,,,,,,,,
2977,Sir Lancer Bots,Detroit,Lake Superior Regional,2,1640,176.56,132.98,1.20,10.51,126.86,27.73,-1.00,-1.00,-1.00,0.05,25.66,-1.00,2.53,0.82,3.87,0.30,0.12,0.74,7.98,5.05,0.05,64.25,-1.41,2.07,52.66,-0.81,1.52,120.50,114.86,0.01,-0.03,0.27,0.92,1.06,0.20,0.32,0.24,0.32,6.36,1.30,17.02,9.40,0.45,0.18,0.64,21.36,0.05,-0.11,0.48,0.40,0.36,9.34,11.47,-1.00,1329,,,,,,,,,,,,,,,,,,,
2978,Cavaliers,Houston,St. Louis Regional,2,1470,55.04,-40.37,0.48,7.26,27.73,18.20,-1.00,-1.00,-1.00,0.23,5.65,-1.00,3.75,1.00,1.98,0.15,-0.22,0.13,3.51,2.59,0.14,32.15,-0.60,0.10,-12.61,1.52,-1.08,18.56,-57.06,0.17,0.25,0.35,0.57,0.97,0.11,0.35,0.61,0.10,9.17,2.41,10.29,5.50,0.06,0.27,0.33,12.50,-0.01,-0.26,0.23,0.10,0.03,1.26,1.85,-1.00,912,,,,,,,,,,,,,,,,,,,
2980,The Whidbey Island Wild Cats,Houston,PNW District Glacier Peak Event,4,1551,103.20,7.37,0.29,7.41,77.00,10.13,-1.00,-1.00,-1.00,0.06,4.39,-1.00,1.89,0.33,2.30,0.33,0.46,0.33,5.51,2.81,-0.01,49.71,-0.31,1.56,20.31,0.55,0.02,71.60,10.44,0.07,0.02,0.32,0.91,0.80,0.40,-0.08,0.26,0.30,5.40,2.40,-1.40,9.13,0.00,0.31,0.31,12.08,0.00,0.27,-0.69,0.12,0.48,4.28,8.64,-1.00,4493,,,,,,,,,,,,,,,,,,,
2980,The Whidbey Island Wild Cats,Houston,PNW District Mount Vernon Event,1,1559,114.29,9.52,0.49,5.64,79.71,16.94,-1.00,-1.00,-1.00,0.31,12.43,-1.00,4.00,0.92,0.86,0.10,-0.04,-1.04,1.64,0.38,0.09,53.07,0.15,2.17,15.22,-0.99,2.52,72.97,6.68,-0.20,-0.04,0.23,0.57,0.68,0.17,0.61,0.71,0.23,6.73,2.46,8.77,5.71,0.17,0.17,0.33,11.67,0.05,1.04,0.28,0.05,0.43,6.55,12.10,-1.00,4277,,,,,,,,,,,,,,,,,,,
2984,The Vikings,Houston,San Diego Regional presented by Qualcomm,2,1482,127.74,1.25,0.83,14.14,83.36,12.58,-1.00,-1.00,-1.00,0.19,-15.56,-1.00,4.50,1.00,4.31,0.72,0.51,-0.54,9.64,8.82,0.38,35.38,1.88,3.96,23.70,2.26,3.79,66.83,-11.72,0.78,0.96,0.14,0.94,1.11,0.25,1.17,1.24,0.18,16.53,0.66,2.55,9.37,0.08,0.27,0.35,11.54,-0.02,-0.29,-0.14,-0.22,0.73,-6.92,17.66,-1.00,-8,,,,,,,,,,,,,,,,,,,
2986,ASTEC NASA Explorers,Houston,Oklahoma Regional ,5,1449,50.74,-55.17,-0.08,3.93,23.23,19.99,-1.00,-1.00,-1.00,-0.02,4.25,-1.00,0.12,0.00,1.84,0.18,0.06,0.30,3.80,0.12,-0.18,4.95,2.36,0.56,10.00,-1.23,-0.60,14.91,-54.73,-0.04,0.01,0.29,1.16,1.18,0.30,0.32,0.48,0.09,8.32,0.64,7.78,11.57,0.10,0.33,0.43,14.50,-0.02,-0.06,0.39,0.52,0.07,12.59,3.59,-1.00,65,,,,,,,,,,,,,,,,,,,
2987,Rogue Robotics,Detroit,Iowa Regional,4,1657,151.25,72.83,1.01,12.49,93.23,27.93,-1.00,-1.00,-1.00,0.36,-3.88,-1.00,3.76,0.82,3.53,0.37,0.84,2.01,8.73,1.95,0.28,47.80,2.81,0.19,38.44,-1.29,1.12,87.55,39.35,0.02,-0.01,0.36,1.16,1.23,0.29,0.06,-0.09,0.49,5.68,-0.40,16.78,11.56,0.55,0.15,0.70,21.82,0.05,0.34,0.74,0.16,0.56,5.69,17.60,-1.00,683,,,,,,,,,,,,,,,,,,,
2987,Rogue Robotics,Detroit,Northern Lights Regional,2,1680,156.36,127.35,1.24,9.07,106.73,20.25,-1.00,-1.00,-1.00,0.47,5.90,-1.00,6.55,1.00,1.15,0.28,0.11,-1.06,2.52,-2.81,0.39,43.51,0.45,1.31,48.27,0.09,1.92,95.01,71.70,0.01,0.29,0.22,0.82,0.70,0.42,0.58,1.34,-0.03,11.72,0.43,11.30,8.53,0.33,0.26,0.59,18.33,0.02,0.25,0.43,-0.13,0.72,-2.00,20.28,-1.00,683,,,,,,,,,,,,,,,,,,,
2988,RoboGenesis,Detroit,CHS District Central Maryland Event sponsored by Leidos,4,1381,12.61,-131.03,-0.30,5.23,4.87,-0.12,-1.00,-1.00,-1.00,0.42,10.46,-1.00,5.49,0.92,-0.17,0.05,0.04,-0.51,-0.26,1.01,0.05,22.35,-0.53,-1.57,-9.96,-0.70,-1.20,9.62,-84.95,-0.24,-0.36,0.43,-0.59,-0.13,0.11,-0.42,-0.47,0.38,-4.75,3.70,2.05,-5.86,0.08,0.13,0.21,9.17,0.00,0.21,0.90,0.18,-0.07,5.53,2.63,-1.00,55,,,,,,,,,,,,,,,,,,,
2988,RoboGenesis,Detroit,CHS District Northern Virginia Event,1,1468,68.33,-40.62,0.26,2.99,64.68,1.58,-1.00,-1.00,-1.00,0.00,-6.78,-1.00,2.01,0.71,1.38,0.18,-0.89,-1.33,0.98,3.12,0.09,46.59,0.44,5.27,5.07,-0.61,-1.16,55.77,-22.34,0.00,0.17,0.13,0.09,0.79,0.07,0.59,0.83,0.16,8.91,0.84,-0.18,0.92,0.00,0.27,0.27,8.57,-0.05,0.25,0.06,0.17,-0.05,5.41,-0.93,-1.00,55,,,,,,,,,,,,,,,,,,,
2989,Star Tech,Detroit,Northern Lights Regional,2,1538,105.71,19.48,0.84,7.83,57.03,17.13,-1.00,-1.00,-1.00,0.30,17.47,-1.00,4.36,0.89,1.16,0.18,0.57,0.64,3.47,-0.08,0.14,33.40,-1.50,2.12,17.61,2.10,0.37,53.50,12.74,0.26,0.18,0.34,0.56,0.46,0.31,0.09,0.07,0.43,3.53,0.52,14.41,2.19,0.22,0.19,0.41,13.89,0.16,-0.19,0.47,-0.22,0.85,-6.49,23.70,-1.00,181,,,,,,,,,,,,,,,,,,,
2990,Hotwire,Houston,Pacific Northwest District Championship,6,1685,118.76,25.24,0.79,22.42,86.69,3.77,-1.00,-1.00,-1.00,0.28,4.20,-1.00,4.94,1.00,6.66,0.43,2.09,2.33,17.48,10.65,0.40,39.46,-0.19,2.76,32.09,0.39,3.61,77.93,24.54,0.42,0.46,0.12,0.36,0.35,0.33,1.18,0.94,0.24,8.77,0.01,-0.52,4.27,0.19,0.23,0.42,13.13,-0.08,-0.52,-0.01,0.05,0.24,-1.47,5.88,-1.00,,,,,,,,,,,,,,,,,,,,
2990,Hotwire,Houston,PNW District West Valley Event,4,1695,152.47,81.79,1.08,18.26,96.65,17.07,-1.00,-1.00,-1.00,0.36,6.93,-1.00,4.76,1.00,6.15,0.48,0.60,0.67,13.50,11.35,0.39,43.23,-0.80,2.23,35.86,1.04,1.63,82.95,37.60,0.22,0.37,0.23,1.31,1.20,0.40,0.49,1.16,0.03,13.70,2.30,1.69,13.08,0.00,0.39,0.39,14.25,-0.04,0.26,1.66,0.15,0.49,4.98,20.49,-1.00,1178,,,,,,,,,,,,,,,,,,,
2990,Hotwire,Houston,PNW District Wilsonville Event,2,1670,170.10,131.81,1.34,19.72,129.06,10.63,-1.00,-1.00,-1.00,0.36,20.08,-1.00,5.25,1.00,7.48,0.59,-0.24,-0.27,14.48,15.43,0.46,57.41,0.28,3.53,50.63,0.27,4.06,115.63,101.29,0.00,0.16,0.14,1.31,1.25,0.39,1.02,1.28,0.13,13.43,3.94,-6.81,13.51,0.00,0.30,0.30,10.26,-0.09,0.15,0.62,0.06,0.30,2.34,10.66,-1.00,1122,,,,,,,,,,,,,,,,,,,
2992,The S.S. Prometheus,Houston,Bayou Regional,4,1700,162.46,99.34,1.60,14.54,112.84,36.81,-1.00,-1.00,-1.00,0.24,8.81,-1.00,5.26,1.00,4.45,0.75,0.19,0.19,9.28,4.99,0.46,48.17,0.86,4.57,45.11,-0.83,5.64,103.49,72.61,-0.06,-0.09,0.33,0.87,0.65,0.48,1.44,1.31,0.26,9.34,0.86,27.21,8.74,0.40,0.22,0.62,20.00,0.23,-0.67,0.29,-0.13,-0.13,-6.65,-1.74,-1.00,1735,,,,,,,,,,,,,,,,,,,
2992,The S.S. Prometheus,Houston,Arkansas Rock City Regional,2,1660,125.18,111.57,1.10,4.06,104.76,18.20,-1.00,-1.00,-1.00,0.44,28.45,-1.00,5.14,0.92,-0.62,0.46,0.08,0.27,-1.08,-4.43,0.35,41.37,-0.19,3.63,50.03,-0.35,1.51,96.53,83.46,0.15,0.24,0.11,1.09,1.22,0.25,0.26,0.19,0.50,8.23,4.47,2.86,10.87,0.08,0.27,0.35,13.46,0.08,0.56,0.65,-0.13,-0.20,-0.30,-1.84,-1.00,1295,,,,,,,,,,,,,,,,,,,
2993,InTech MegaBots,Houston,Utah Regional,1,1501,35.04,-132.47,-0.36,5.62,24.97,-3.62,-1.00,-1.00,-1.00,0.29,-11.22,-1.00,3.31,0.73,1.19,0.14,-0.03,-0.34,2.31,-9.36,0.07,38.52,-0.07,0.33,-10.11,1.83,-1.22,27.52,-85.79,0.35,0.05,0.41,0.02,0.08,0.21,-0.41,-0.64,0.56,-2.55,2.80,-6.61,0.18,0.09,0.20,0.29,11.36,-0.03,0.52,-0.52,-0.07,0.43,0.91,8.07,-1.00,540,,,,,,,,,,,,,,,,,,,
2994,ASTECHZ,Detroit,ONT District North Bay Event,5,1496,113.49,8.85,0.64,7.59,87.01,19.14,-1.00,-1.00,-1.00,0.26,1.71,-1.00,4.89,0.93,0.35,0.08,1.00,-0.59,2.70,0.88,0.09,37.05,1.06,1.78,31.16,2.89,1.62,71.62,5.85,0.63,0.58,0.43,1.37,1.32,0.35,0.96,1.17,0.00,15.40,2.31,3.11,13.71,0.14,0.33,0.48,17.50,0.00,-0.10,0.00,0.14,-0.01,3.03,-0.17,-1.00,1003,,,,,,,,,,,,,,,,,,,
2994,ASTECHZ,Detroit,ONT District Durham College Event,1,1462,77.80,-37.19,0.54,2.77,56.89,13.28,-1.00,-1.00,-1.00,0.27,-7.70,-1.00,2.89,0.93,0.34,0.03,-0.40,-0.97,-0.13,-4.41,0.13,24.86,0.68,1.74,18.35,0.79,0.97,45.92,-20.37,0.17,0.28,0.33,0.81,1.20,0.16,0.48,0.72,0.20,10.98,2.38,2.81,8.08,0.14,0.24,0.38,13.93,0.07,-0.19,-0.03,0.67,0.20,15.74,4.85,-1.00,1003,,,,,,,,,,,,,,,,,,,
2996,Cougars Gone Wired,Houston,Colorado Regional,4,1708,196.82,119.51,1.64,12.93,136.91,31.64,-1.00,-1.00,-1.00,0.41,-3.78,-1.00,5.75,1.00,2.21,0.40,1.38,1.23,7.18,0.93,0.48,65.73,1.27,4.33,49.74,-0.70,4.98,124.79,79.09,-0.11,0.03,0.17,0.92,0.91,0.37,1.40,1.48,0.19,12.12,0.14,22.32,9.18,0.77,0.00,0.77,23.46,0.16,-0.01,0.13,-0.26,0.59,-6.46,15.32,-1.00,5990,,,,,,,,,,,,,,,,,,,
