event_year,event_name,team_number,team_match_id,team_match_seq,auto_scale_cube,auto_exchange_cube,auto_switch_cube,home_switch_cube,opp_switch_cube,scale_cube,exchange_cube,climb,assist,piggyback_climb_boolean
2017,"Pacific Northwest District Championship",3711,1704,11,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",2811,1705,12,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",4061,1706,12,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",6445,1707,2,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",3223,1708,12,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",2928,1709,11,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",1595,1710,12,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",4125,1711,11,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",3219,1712,6,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",2907,1713,7,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",753,1714,7,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",5198,1715,7,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",5295,1716,7,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",3693,1717,7,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",4662,1718,2,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",2910,1719,13,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",2990,1720,14,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",4911,1721,14,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",2374,1722,13,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",2980,1723,7,0,0,0,0,0,0,0,0,0,0
2017,"Pacific Northwest District Championship",3070,1724,7,0,0,0,0,0,0,0,0,0,0
