Team,Final Score,adjust Points,auto Ownership Points,auto Points,auto Quest Ranking Point,auto Run Points,auto Scale Ownership Sec,auto Switch At Zero,auto Switch Ownership Sec,endgame Points,face The Boss Ranking Point,foul Count,foul Points,rp,tech Foul Count,teleop Ownership Points,teleop Points,teleop Scale Boost Sec,teleop Scale Force Sec,teleop Scale Ownership Sec,teleop Switch Boost Sec,teleop Switch Force Sec,teleop Switch Ownership Sec,total Points,vault Boost Played,vault Boost Total,vault Force Played,vault Force Total,vault Levitate Played,vault Levitate Total,vault Points
31,71.2934570442,0,-1.3864624246,2.2884922975,-0.112886497,3.6749547221,-0.015080513,-0.037440577,-0.6781506993,6.5627548594,-0.0287731457,1.0826698979,-2.8170633063,0.213710563,-0.2048015714,60.7824473131,71.822545742,-0.4252841439,0.6831171229,11.8114864157,1.0387431159,-0.7281751128,48.3575019254,71.2934570442,0.3000016524,0.1701880068,0.1913018739,0.182481408,0.4482083971,0.5427992991,4.4773435694
33,171.0875758366,0,8.4571006712,13.7733778241,0.4493560687,5.3162771528,0.0375317427,0.5019798665,4.1910185929,27.9366495396,0.1339922091,-0.0798450366,3.0021745506,1.51790584,0.2929740722,110.5303818586,154.2999494112,3.2224513242,1.5212035676,52.5390127325,2.5362353802,0.8949999194,52.2326824217,171.0875758366,0.9973658111,1.2131277732,0.4729428197,0.7197338156,1.0389433129,1.2337220138,15.832918013
34,83.4989509572,0,0.8079987769,3.8517934134,0.1043142094,3.0437946365,-0.0806638298,0.0049148226,0.4846632182,15.0943445365,-0.0198485194,0.4841510604,5.3199099384,0.3151143159,0.5077171292,49.3213492938,74.3278621924,0.3248767241,0.8211342316,8.0516366924,1.8445034335,0.6001150008,39.1003324438,83.4989509572,0.3688691973,0.4857558139,0.2959935158,0.4608976541,0.8123142458,1.0357802044,9.9121683621
41,104.7519590899,0,4.0626102744,8.4806909423,0.1844922797,4.4180806679,-0.2709230247,0.2278595594,2.3022281619,12.5675655275,0.0200728877,0.5875401083,9.2969070259,0.6240008861,0.0284726045,64.4499732912,86.9647827395,0.982170974,1.5372937708,17.0746228145,2.8730679299,0.6336666522,43.5201115728,104.7519590899,0.617486688,0.6887415919,0.3661039829,0.6052229964,0.7747575742,0.6954841959,9.9472439209
45,70.7938140673,0,4.0738544523,9.3153363182,0.2629785662,5.2414818659,-0.2461303659,0.2288240382,2.283057592,20.0512060101,0.0285445073,0.1407912873,3.9728584794,0.3269525612,0.3905436222,31.3217280111,57.5046782045,-0.9195117888,1.4802214405,-1.591041544,-1.321526989,0.7638762029,35.1538083329,70.7938140673,-0.2175389314,0.0472883829,0.3425460229,0.480092352,0.6428759528,0.6989681017,6.1317441834
48,85.519937108,0,10.3036314314,15.0261325179,0.290992422,4.7225010865,1.3141165894,0.3649810966,3.8376991263,8.4402001318,0.0252324422,0.106038092,-6.6539084572,0.6800577051,0.593557187,61.4687571667,77.1354820502,1.7553600553,1.8427352866,18.01531816,-0.7908811934,0.9830851637,42.4889601449,85.519937108,0.3074667127,0.6175695146,0.5194409169,0.6089399497,-0.2383330495,0.2187954861,7.2265247517
51,101.7949197038,0,4.5167814238,8.1939092942,0.1064351256,3.6771278704,0.6914396192,0.2287800224,1.5669510927,19.5602270805,0.0415071118,0.5325862648,0.4185424118,0.4368561828,0.3485525774,65.0980703557,93.16840943,1.3540235965,0.083689928,25.2414078207,0.4991402243,0.6436616244,38.0034987142,101.7949197038,0.5521271526,0.6032060198,0.1466456063,0.293395781,0.9069176202,0.8054205979,8.5101119938
56,209.1511237852,0,14.2650453415,18.8107817248,0.3983220706,4.5457363833,1.2131570306,0.5418766391,5.9193656402,30.0690124946,0.1411250518,0.2134251999,31.7108035087,1.463929347,-0.0425380195,113.4859565104,158.628916613,4.5868827316,1.1782367377,54.4614112464,1.9665528358,1.807218351,52.4711096966,209.1511237852,1.1165750228,1.2617218057,0.4236980621,0.5431667555,1.3100580584,1.2099009604,15.073947608
58,155.1594794123,0,5.2365841022,10.2455261836,0.4280121955,5.0089420814,1.0331691755,0.3863459769,1.5851228756,14.8901592489,0.0095080077,-0.1004631863,16.8640446937,1.2394800555,0.4660683579,104.4692144658,128.0431623026,2.3128739752,0.2407304126,46.9662850634,1.3285782887,-0.550117037,53.8614771386,155.1594794123,0.4647497838,0.5641886073,-0.0401618263,0.064318488,1.0400824423,1.1082506223,8.6837885879
59,170.9014822739,0,9.2969489766,15.1161081147,0.4383177639,5.8191591381,1.3916395888,0.4516891114,3.2568348995,22.526716886,0.0875040682,-0.0820819834,10.3302148931,1.5204492025,0.5885241717,110.2774009722,145.4537700781,2.8272797794,-0.0011075769,53.6345634931,2.2498265184,0.4243207323,51.5657311813,170.9014822739,0.7642078082,0.9351145381,0.0111397184,0.2951387482,1.1458919749,1.2996771577,12.64965222
60,102.6010113954,0,3.2072126018,8.4329352368,0.2205361974,5.225722635,-0.271272944,0.3294167214,1.8748792449,13.3091675346,0.02907667,0.1289727586,4.8916854372,0.7527851551,0.3235250481,69.1042986356,89.2732342347,1.2965574788,1.2983375297,23.5183276772,0.3345231576,1.1914640213,43.954890322,102.6010113954,0.3947586094,0.4163334495,0.33398043,0.3952005864,0.6681490083,0.560419577,6.8597680646
61,155.5603991787,0,10.0512257604,14.9552959217,0.4292231036,4.9040701613,0.1489783352,0.5057359292,4.876634545,26.8110457079,-0.0289951645,0.3028480259,5.5195981508,1.0114837842,0.1945631737,92.5954136482,135.0825532498,2.7194679978,2.888221262,37.2737955822,1.478912503,2.286823753,51.1232375652,155.5603991787,0.5651450459,0.6534861035,1.0282545375,1.2730922292,1.2050940826,1.208640446,15.6760938937
63,132.1318883907,0,2.7761980422,7.0761659033,0.2622795542,4.2999678611,0.3295806367,0.3328824575,1.0585183845,27.5765908245,0.1099566385,0.5855849924,-0.9328982651,0.9420624682,0.2900690659,89.3355049739,125.9816573135,1.7584412427,-1.0532040451,38.795864682,-0.5179023126,-0.6264209378,49.2991013619,132.1318883907,0.3411483585,0.4947587195,-0.0518100145,0.3210500269,1.1316869978,0.9981035566,9.0695615151
66,173.3515170024,0,10.1579035799,14.8986835384,0.2200237038,4.7407799585,1.6431294338,0.349315928,3.4358223562,19.4154794516,-0.0347765839,0.329249424,4.2381236681,1.0703183093,0.1559521223,119.6520935213,154.1981972174,2.5451288847,1.0831651147,55.6332144419,3.3763761327,1.2125799152,58.0973740619,173.3515170024,1.0396808892,1.3179884012,0.3320331055,0.3869540965,1.4511022748,1.3211823512,15.1306242445
