,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3/29/2018 23:14,6503,Tank,,4,Java,,,Yes,,,Yes,No,Yes,No,No,No
3/29/2018 23:15,6443,West Coast,,4,Java,,,Yes,Yes,,Yes,Yes,Yes,No,No,Yes
3/29/2018 23:16,5468,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,No,Yes,No
3/29/2018 23:17,4918,West Coast,,6,LabView,,,Yes,,,Yes,Yes,Yes,No,No,No
3/29/2018 23:18,4579,Holonomic,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,No
3/29/2018 23:19,3684,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes
3/29/2018 23:22,3786,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,No
3/29/2018 23:23,4131,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes
3/29/2018 23:24,4461,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,No
3/29/2018 23:25,360,West Coast,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,No
3/29/2018 23:26,492,Mecanum,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes
3/29/2018 23:27,949,H Drive,,4,Java,,,Yes,,Yes,No,Yes,Yes,No,No,No
3/29/2018 23:28,948,Mecanum,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes
3/29/2018 23:29,1258,Tank,,4,C++,,,Yes,,,Yes,Yes,Yes,No,No,No
3/29/2018 23:31,1318,Tank,,,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes
3/29/2018 23:33,1778,Tank,,4,Java,,,Yes,,,Yes,Yes,Yes,No,No,No
3/29/2018 23:34,1899,Tank,,4,Java,,,Yes,,,Yes,No,Yes,No,No,No
3/29/2018 23:36,2046,West Coast,,6,Java,,,Yes,,,Yes,Yes,Yes,No,No,Yes
3/29/2018 23:37,2557,Butterfly,,4,Java,,,Yes,,,Yes,Yes,Yes,No,Yes,No
3/29/2018 23:38,2906,West Coast,,6,Java,,,Yes,,,Yes,No,Yes,No,No,No
3/29/2018 23:39,2907,West Coast,,6,Java,,,Yes,,,Yes,Yes,Yes,No,No,No
